C2H2,C2H4,CH4,H2,C2H6,act
0.98,7.36,0.13,3.47,7.48,4
0.0,2.18,0.02,1.08,0.16,2
2.87,9.16,2.09,7.32,10.26,1
1.89,7.82,0.6,4.03,3.64,4
0.0,1.51,0.03,4.9,0.07,2
0.0,8.47,5.88,4.77,0.88,5
0.1,4.95,9.29,8.4,6.33,7
0.01,6.12,9.46,5.72,1.82,6
0.03,4.02,1.96,4.65,2.15,6
0.06,8.47,9.76,2.37,6.16,1
0.06,3.23,2.97,7.09,6.88,7
2.14,6.45,0.67,8.16,9.53,4
0.15,6.22,6.64,3.33,8.95,7
0.0,4.4,0.03,6.57,0.09,2
0.0,6.7,0.07,2.85,0.01,2
0.08,3.89,2.4,1.08,3.28,6
0.17,7.96,6.32,2.52,7.74,7
6.2,0.34,0.15,5.15,4.15,3
1.74,2.58,6.01,2.24,8.27,1
0.04,5.74,2.26,6.3,6.78,7
0.0,5.86,0.06,7.42,0.12,2
1.53,0.93,1.94,7.67,6.02,1
0.16,3.14,2.71,5.25,4.63,7
6.35,8.73,9.81,1.72,7.76,1
6.36,0.27,0.46,6.16,8.78,3
9.11,0.46,0.45,5.75,4.13,3
0.06,3.56,8.12,9.09,5.92,7
2.31,3.84,1.45,10.55,2.66,1
3.8,0.36,0.36,8.59,5.67,3
9.2,9.25,7.47,1.56,0.7,1
0.11,6.75,5.33,4.95,5.28,7
1.1,7.63,0.98,3.93,9.53,4
1.11,6.09,0.73,3.63,5.32,4
0.14,9.19,7.69,4.19,9.07,7
0.06,5.37,1.93,3.72,2.85,6
7.91,7.16,10.81,6.95,8.05,1
0.18,3.49,2.03,2.97,7.91,7
0.14,9.23,8.19,4.25,6.88,7
0.8,8.0,0.58,9.13,8.88,4
0.11,7.36,1.53,2.75,8.55,7
0.01,3.05,8.17,1.09,8.25,7
5.72,0.59,0.34,2.08,4.5,3
0.0,2.52,6.85,1.09,0.6,5
2.29,6.2,9.77,7.2,4.69,1
0.0,5.73,3.76,4.34,0.03,5
0.03,7.54,4.83,8.7,3.4,6
3.01,6.93,8.94,8.59,6.35,1
0.02,8.44,2.44,8.03,2.35,6
0.0,6.43,0.05,2.76,0.07,2
0.0,5.81,8.01,2.65,0.65,5
0.17,4.08,9.05,8.6,5.52,7
9.55,0.36,0.15,1.62,1.51,3
0.77,4.58,9.25,1.91,8.18,1
0.06,4.71,5.1,4.02,3.72,6
1.12,1.41,0.83,1.71,9.29,4
1.24,6.2,0.62,6.0,7.26,4
0.0,4.92,0.04,2.82,0.1,2
1.57,9.36,0.84,5.02,9.94,4
0.05,4.77,5.29,9.21,8.66,7
9.02,0.59,0.14,4.84,5.74,3
6.93,10.86,5.51,1.18,2.35,1
3.86,0.84,0.49,1.33,8.81,3
0.16,1.23,8.76,4.71,6.5,7
3.98,0.1,0.42,5.1,3.82,3
2.14,4.56,0.52,8.65,7.2,4
1.81,3.39,0.46,2.98,7.43,4
0.17,2.08,7.78,3.39,7.64,7
0.0,6.22,0.04,9.27,0.19,2
6.42,0.9,0.1,6.49,3.29,3
5.2,2.4,3.1,3.8,4.06,1
5.41,0.24,0.12,4.04,3.67,3
4.46,0.1,0.14,6.34,2.63,3
0.11,2.06,6.41,6.39,8.94,7
0.0,4.45,0.07,9.69,0.12,2
0.0,2.33,6.95,4.01,0.09,5
0.05,8.52,5.84,3.77,3.78,6
0.07,1.48,5.11,9.63,1.21,1
0.0,3.61,0.04,6.39,0.13,2
0.0,3.64,0.06,2.61,0.06,2
0.02,6.28,9.72,9.25,2.4,6
0.0,1.77,6.13,4.97,0.56,5
0.14,3.83,8.26,4.35,9.89,7
1.3,1.05,0.75,6.83,9.28,4
1.05,7.39,0.86,5.05,9.39,4
4.31,2.96,8.9,9.83,2.2,1
0.07,5.26,9.88,8.71,9.84,7
1.76,1.42,0.89,4.33,7.48,4
3.62,4.02,0.82,0.98,4.3,1
0.06,8.61,6.95,6.09,1.56,6
0.06,1.37,5.95,5.18,3.46,6
0.01,4.35,6.9,9.56,7.49,7
0.04,9.12,4.66,1.9,3.76,6
0.03,7.95,1.57,1.52,7.93,7
0.01,2.78,9.53,2.93,6.57,7
0.0,7.7,7.02,4.61,0.68,5
0.14,8.84,1.04,1.44,7.62,7
0.02,5.75,1.92,1.2,7.72,7
0.11,7.07,1.36,8.58,7.76,7
0.0,4.93,0.03,9.23,0.19,2
0.89,3.45,0.75,9.2,6.93,4
0.0,7.1,0.09,9.91,0.04,2
6.99,0.15,0.43,2.78,5.44,3
0.0,5.59,0.07,1.75,0.03,2
0.71,3.88,7.74,1.79,7.52,1
6.34,0.9,0.25,7.82,9.1,3
1.97,0.23,0.25,8.71,2.95,3
0.0,3.06,0.01,1.35,0.14,2
2.1,2.96,0.93,3.44,4.85,4
0.0,3.72,8.99,6.51,0.84,5
0.7,2.98,0.58,9.39,8.82,4
0.08,5.41,9.34,5.77,2.53,6
0.0,1.63,2.74,4.2,0.83,5
0.79,0.47,9.79,7.47,8.98,1
1.83,1.22,0.97,9.07,8.97,4
9.09,0.8,0.32,5.74,1.2,3
0.0,7.48,0.03,3.97,0.09,2
4.78,0.96,0.42,7.22,1.4,3
0.1,9.08,2.73,6.05,9.46,7
0.0,2.62,0.02,2.55,0.04,2
0.0,2.68,0.07,3.63,0.18,2
0.18,4.25,2.08,8.33,8.78,7
8.54,0.9,0.36,9.83,5.24,3
0.13,6.26,5.72,6.59,7.78,7
8.98,0.98,0.13,1.59,9.81,3
0.0,9.57,3.79,3.16,0.86,5
0.0,2.57,0.02,1.74,0.06,2
1.71,9.63,7.71,0.67,9.94,1
0.09,7.96,5.02,7.98,3.26,6
0.03,4.61,2.8,2.28,3.88,6
0.06,9.48,8.92,3.5,7.01,7
6.4,0.55,0.5,5.24,5.18,3
7.89,0.65,0.46,4.4,4.11,3
0.0,5.43,7.22,8.89,0.84,5
0.0,6.6,9.07,1.14,0.5,5
0.12,9.83,6.21,5.52,9.29,7
1.34,0.4,0.12,8.32,9.42,3
0.04,8.06,8.36,3.55,1.5,6
0.0,8.56,0.06,4.9,0.15,2
0.0,1.39,8.75,3.12,0.62,5
0.62,7.92,0.96,3.55,7.75,4
5.94,0.4,0.44,8.88,9.06,3
0.08,6.85,7.52,5.76,3.17,6
0.12,3.0,6.93,9.66,9.57,7
0.83,1.67,0.38,3.59,6.77,4
0.0,2.78,3.27,2.09,0.18,5
1.96,1.58,0.18,2.14,7.32,4
2.35,0.97,0.25,3.96,1.98,3
6.8,0.32,0.33,9.45,9.84,3
0.0,6.72,0.09,4.33,0.08,2
2.45,0.98,0.37,6.82,4.22,3
6.01,0.12,0.14,5.94,3.49,3
0.0,5.04,0.07,4.43,0.08,2
0.0,3.54,0.03,1.39,0.05,2
2.09,1.0,0.3,7.22,2.97,4
0.15,6.23,8.78,7.24,8.35,7
8.96,4.01,2.88,4.27,9.68,1
0.0,5.05,2.02,1.85,0.86,5
0.61,6.32,0.68,9.61,2.71,4
0.0,6.32,0.03,1.98,0.0,2
0.03,3.68,9.28,8.95,5.38,7
2.15,2.75,0.53,8.42,7.22,4
0.0,6.46,0.06,7.08,0.09,2
0.0,5.01,5.45,4.86,0.26,5
1.39,4.14,0.47,5.23,9.07,4
2.43,0.28,0.17,1.8,2.32,3
0.0,3.91,0.07,2.38,0.15,2
0.0,5.3,0.03,9.15,0.13,2
0.08,4.58,3.5,9.93,2.05,6
3.54,0.32,0.22,6.51,6.38,3
6.17,6.8,0.07,1.16,9.51,1
0.05,9.0,9.15,1.44,5.83,7
0.0,9.0,7.67,4.77,0.6,5
0.03,1.41,7.4,4.45,3.94,6
0.0,1.96,0.04,6.98,0.17,2
0.6,7.87,0.42,1.06,6.1,4
6.18,4.91,7.54,4.07,6.57,1
1.18,9.95,0.71,8.21,7.12,4
2.39,0.3,0.33,1.64,3.11,3
0.0,4.24,4.38,8.04,0.51,5
0.0,7.59,0.07,2.8,0.16,2
1.58,7.11,0.33,1.33,5.29,4
3.49,0.83,0.32,4.11,2.91,3
0.0,9.26,3.34,5.33,0.06,5
2.32,0.43,0.14,7.48,8.96,3
