C2H2,C2H4,CH4,H2,C2H6
0.14,4.99,2.5,7.85,6.94
0.0,1.91,0.0,3.16,0.16
0.0,1.14,6.2,3.41,0.56
5.88,4.8,7.06,9.74,7.79
2.35,5.98,0.28,3.07,2.16
0.0,1.74,9.21,8.26,0.74
3.35,0.23,0.33,3.57,2.95
0.02,4.93,1.22,7.39,3.1
0.01,7.38,1.58,5.24,1.16
0.08,4.74,8.72,5.43,1.55
0.02,8.53,6.23,6.95,8.31
1.31,4.38,0.8,9.4,5.7
8.25,0.63,0.26,5.5,5.03
2.21,2.99,0.8,6.35,2.13
0.61,4.68,0.01,3.23,8.36
1.67,1.19,0.47,2.0,5.81
0.14,9.19,7.69,4.19,9.07
0.05,8.06,6.98,8.71,2.95
0.0,5.73,3.76,4.34,0.03
8.53,0.21,0.17,2.16,2.69
0.0,1.04,3.23,3.57,2.58
0.0,5.47,0.0,1.32,0.05
0.0,4.42,0.01,4.19,0.1
0.0,4.58,1.65,1.81,0.64
2.46,3.12,2.86,7.19,9.46
0.0,4.14,7.85,4.98,0.11
0.0,8.73,0.07,3.92,0.07
0.06,6.33,6.37,5.18,1.66
0.09,3.12,7.13,5.51,3.08
1.29,0.63,2.74,7.61,3.0
2.68,0.19,0.15,8.09,6.81
0.0,2.74,0.01,7.52,0.03
0.0,2.53,0.04,2.11,0.01
0.06,3.56,8.12,9.09,5.92
0.11,5.38,8.76,1.83,6.8
3.98,0.1,0.42,5.1,3.82
0.07,1.94,8.24,4.93,2.52
0.0,6.99,4.86,8.29,0.72
0.09,6.24,1.28,7.57,3.94
2.38,4.55,0.66,3.81,8.2
0.0,9.63,4.27,4.04,0.22
6.74,0.05,6.28,7.01,1.52
0.0,6.41,3.29,1.92,0.07
1.14,7.86,0.95,8.79,4.8
8.83,8.17,8.36,10.33,9.47
7.98,5.86,10.48,7.98,4.9
5.91,1.28,5.24,9.02,1.0
0.0,5.17,9.37,3.21,0.45
0.0,3.98,1.58,4.61,4.13
1.01,1.81,0.23,9.44,3.63
6.71,7.29,4.91,2.75,1.73
0.03,2.52,8.73,1.85,1.05
0.03,5.56,8.65,6.09,2.53
10.9,2.76,7.38,8.43,8.74
0.0,2.88,1.56,2.34,0.59
0.0,3.72,1.09,4.23,0.93
2.81,8.29,6.08,7.43,2.08
0.0,1.76,6.5,5.48,0.56
0.05,3.15,2.13,3.49,8.96
2.43,8.26,0.39,5.46,8.0
0.0,6.91,0.08,5.82,0.11
7.24,0.81,0.36,4.64,5.49
0.06,7.3,9.89,9.24,1.69
0.08,7.62,9.76,2.94,2.65
0.04,2.65,1.23,9.11,2.59
0.0,4.9,1.01,2.81,2.3
5.88,0.49,0.41,2.67,4.97
0.0,6.34,0.06,1.06,0.05
1.91,2.08,0.64,1.5,2.77
0.0,5.38,1.41,5.7,0.42
9.66,0.18,0.44,1.04,3.73
1.43,2.85,0.27,4.78,7.04
2.47,4.97,0.36,9.46,5.6
0.0,5.81,0.03,5.12,0.06
0.0,6.92,0.91,6.75,8.64
0.0,7.39,0.07,4.03,0.07
1.83,5.85,1.88,9.98,3.81
0.17,4.43,5.14,9.04,8.07
0.0,9.49,0.06,8.21,0.04
0.0,6.98,9.08,5.69,0.81
0.01,2.27,2.93,5.6,3.9
0.0,1.12,0.07,3.83,0.08
0.15,9.03,4.72,6.81,9.54
8.22,2.93,4.54,3.02,3.38
0.12,3.38,2.83,1.09,5.1
0.0,2.55,0.02,5.7,0.07
0.0,3.41,7.11,5.28,4.47
2.02,6.69,0.42,5.96,6.5
0.01,3.23,4.89,9.71,3.03
0.0,7.7,0.01,9.62,0.17
2.5,6.32,0.64,4.39,5.22
1.01,2.09,0.19,1.96,9.61
0.0,7.38,0.02,6.22,0.07
3.09,0.45,5.64,7.63,9.41
0.0,9.92,8.26,9.19,0.76
7.29,0.89,0.11,1.83,9.52
9.94,0.24,0.24,4.77,5.24
0.08,7.14,2.34,2.83,2.0
0.0,1.62,2.67,6.07,0.95
1.5,2.36,0.27,8.72,5.08
0.0,8.6,9.28,3.64,0.76
0.17,3.56,5.61,7.54,6.15
9.61,0.92,0.48,2.0,8.77
0.03,3.18,6.92,7.07,2.45
0.0,2.52,0.01,7.7,0.16
0.03,8.07,1.35,1.25,3.06
0.0,8.5,0.04,6.89,0.0
1.09,0.5,0.43,7.89,3.86
0.0,2.0,2.84,4.71,0.94
7.98,4.08,1.38,4.18,1.13
5.82,0.13,0.35,3.25,5.25
0.93,6.32,0.48,6.57,9.64
6.06,1.42,9.1,3.52,4.1
5.68,8.73,9.09,1.9,8.17
8.25,2.83,4.91,8.83,9.59
0.0,2.42,0.0,7.01,0.14
0.03,8.12,6.42,5.7,1.38
9.11,6.8,3.47,5.9,9.58
1.76,6.02,0.99,2.93,8.32
1.33,4.56,3.94,5.79,6.15
1.48,3.44,0.76,9.3,7.8
0.0,9.06,1.88,1.66,0.81
2.38,1.84,0.46,6.24,3.85
0.0,7.14,0.03,7.96,0.02
2.77,0.98,0.42,5.24,5.81
0.03,4.49,7.74,7.09,1.03
0.07,3.39,8.16,3.1,9.53
1.53,7.76,0.56,8.33,5.77
1.29,5.95,0.91,9.46,5.35
7.19,10.5,6.8,3.64,2.25
0.04,9.73,9.32,3.94,1.75
3.95,1.55,8.93,10.01,3.17
1.12,4.67,0.98,2.93,4.02
2.16,2.71,0.58,9.14,6.51
3.82,0.59,0.41,8.42,9.22
6.5,0.29,0.26,2.92,8.86
0.0,9.57,3.79,3.16,0.86
0.14,8.45,9.81,5.3,7.55
0.0,4.41,0.02,6.32,0.0
0.0,5.05,1.19,5.47,0.93
0.12,7.91,5.12,7.7,7.87
9.72,5.74,8.54,0.65,1.93
0.0,5.95,6.51,3.63,0.92
6.39,4.97,8.94,2.25,2.72
0.0,9.43,0.08,6.03,0.14
1.69,2.26,0.95,5.67,3.52
0.05,8.52,5.84,3.77,3.78
0.05,5.93,5.82,7.25,9.77
0.8,6.67,0.15,8.61,7.1
10.18,10.66,9.15,2.61,5.15
